stockcode,stockname, SERIES, DATE OF LISTING, ISIN NUMBER, , ,,,,,,,
AUBANK,AU Small Finance Bank Limited,EQ,10-Jul-17,INE949L01017,,#N/A,Nahar Capital,Finance - Investments,79.1,0.65,0.83,132,Banking/Finance
AURIONPRO,Aurionpro Solutions Limited,EQ,25-Oct-05,INE132H01018,,#N/A,JM Financial,Finance - Investments,82.95,0.65,0.79,"7,900",Banking/Finance
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-Jul-00,INE406A01037,,#N/A,Capital Trust,Finance - Leasing & Hire Purchase,105.65,0.75,0.71,173,Banking/Finance
AUSOMENT,Ausom Enterprise Limited,EQ,17-Apr-96,INE218C01016,,#N/A,Bandhan Bank,Banks - Private Sector,426.2,3,0.71,"68,634",Banking/Finance
AUTOAXLES,Automotive Axles Limited,EQ,29-May-03,INE449A01011,,#N/A,Network 18,Media & Entertainment,36.55,0.25,0.69,"3,827",Banking/Finance
AUTOIND,Autoline Industries Limited,EQ,31-Jan-07,INE718H01014,,#N/A,CreditAccess Gr,Finance - Term Lending Institutions,790,5.4,0.69,"12,283",Banking/Finance
AUTOLITIND,Autolite (India) Limited,EQ,31-May-95,INE448A01013,,#N/A,Birla Nifty ETF,Finance - Investments,149.04,0.99,0.67,32,Banking/Finance
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-Jul-17,INE349W01017,,#N/A,SREI Infra,Finance - Leasing & Hire Purchase,7.55,0.05,0.67,380,Banking/Finance
AVANTIFEED,Avanti Feeds Limited,EQ,15-Apr-15,INE871C01038,,#N/A,L&T Finance,Finance - Investments,90.8,0.6,0.67,"18,223",Banking/Finance
AVTNPL,AVT Natural Products Limited,EQ,10-Jan-07,INE488D01021,,#N/A,Reliance ETF,Finance - Investments,375.39,2.38,0.64,3,Banking/Finance
AXISBANK,Axis Bank Limited,EQ,16-Nov-98,INE238A01034,,#N/A,JK Bank,Banks - Private Sector,24.55,0.15,0.61,"1,752",Banking/Finance
AXISCADES,AXISCADES Technologies Limited,EQ,21-Dec-00,INE555B01013,,#N/A,Pilani Invest,Finance - General,2428.8,14.05,0.58,"1,921",Banking/Finance
AYMSYNTEX,AYM Syntex Limited,BE,14-Aug-15,INE193B01039,,#N/A,AB Money,Finance - General,44.6,0.25,0.56,251,Banking/Finance
BAFNAPH,Bafna Pharmaceuticals Limited,BE,27-Feb-20,INE878I01022,,#N/A,Muthoot Cap,Finance - Investments,423,2.35,0.56,696,Banking/Finance
BAGFILMS,B.A.G Films and Media Limited,EQ,17-Oct-03,INE116D01028,,#N/A,Bajaj Finance,Finance - Leasing & Hire Purchase,4867.65,23.8,0.49,"293,318",Banking/Finance
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-May-08,INE917I01010,,#N/A,Summit Sec,Finance - Investments,538.7,2.55,0.48,587,Banking/Finance
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-Aug-10,INE933K01021,,#N/A,Manappuram Fin,Finance - Leasing & Hire Purchase,170.95,0.75,0.44,"14,465",Banking/Finance
BAJAJELEC,Bajaj Electricals Limited,EQ,2-Nov-07,INE193E01025,,#N/A,Sundaram Fin,Finance - Leasing & Hire Purchase,1813.65,7.85,0.43,"20,150",Banking/Finance
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-May-08,INE918I01018,,#N/A,IndusInd Bank,Banks - Private Sector,927.6,3.85,0.42,"70,171",Banking/Finance
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-May-95,INE306A01021,,#N/A,Kotak Nifty ETF,Finance - Investments,141.2,0.58,0.41,31,Banking/Finance
