stockcode,stockname, SERIES, DATE OF LISTING, ISIN NUMBER, , ,,,,,,,
KSB,Ksb Limited,EQ,8-Feb-95,INE999A01015,,#N/A,Godawari Power,Steel - Sponge Iron,481.6,10.75,2.28,"1,697",Metals & Mining
KSCL,Kaveri Seed Company Limited,EQ,4-Oct-07,INE455I01029,,The Tinplate Company of India Limited,Tinplate,Metals - Non Ferrous,148.15,2.9,2,"1,551",Metals & Mining
KSERASERA,KSS Limited,BZ,5-Oct-06,INE216D01026,,#N/A,MSP Steel,Steel - Sponge Iron,8.15,0.15,1.88,314,Metals & Mining
KSK,KSK Energy Ventures Limited,BZ,14-Jul-08,INE143H01015,,#N/A,Tata Steel,Steel - Large,633.35,11.65,1.87,"71,346",Metals & Mining
KSL,Kalyani Steels Limited,EQ,19-May-10,INE907A01026,,#N/A,Hisar Metal,Steel - Medium & Small,85.85,1.55,1.84,46,Metals & Mining
KTKBANK,The Karnataka Bank Limited,EQ,10-May-00,INE614B01018,,#N/A,OCL Iron,Steel - Medium & Small,2.85,0.05,1.79,38,Metals & Mining
KUANTUM,Kuantum Papers Limited,EQ,23-Oct-19,INE529I01021,,#N/A,Usha Martin,Steel - Medium & Small,25.9,0.45,1.77,789,Metals & Mining
KWALITY,kwality limited,EQ,5-Jul-11,INE775B01025,,#N/A,Jindal Stainles,Steel - Medium & Small,68.8,1.15,1.7,"3,352",Metals & Mining
L&TFH,L&T Finance Holdings Limited,EQ,12-Aug-11,INE498L01015,,#N/A,Sarda Energy,Steel - Sponge Iron,326,5.4,1.68,"1,175",Metals & Mining
LAKPRE,Lakshmi Precision Screws Limited,BZ,26-Sep-06,INE651C01018,,#N/A,Vaswani Ind,Steel - Sponge Iron,6.35,0.1,1.6,19,Metals & Mining
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,23-Dec-15,INE600L01024,,Steel Authority of India Limited,SAIL,Steel - Large,58.6,0.85,1.47,"24,205",Metals & Mining
LAMBODHARA,Lambodhara Textiles Limited,EQ,4-Feb-15,INE112F01022,,#N/A,Cubex Tubings,Metals - Non Ferrous,18.45,0.25,1.37,26,Metals & Mining
LAOPALA,La Opala RG Limited,EQ,16-Mar-07,INE059D01020,,#N/A,Gallantt Ispat,Steel - Sponge Iron,32.2,0.35,1.1,909,Metals & Mining
LASA,Lasa Supergenerics Limited,EQ,21-Sep-17,INE670X01014,,#N/A,Manaksia Alumin,Aluminium,9.2,0.1,1.1,60,Metals & Mining
LAURUSLABS,Laurus Labs Limited,EQ,19-Dec-16,INE947Q01028,,#N/A,Hind Copper,Metals - Non Ferrous,44.75,0.45,1.02,"4,140",Metals & Mining
LAXMIMACH,Lakshmi Machine Works Limited,EQ,29-Mar-95,INE269B01029,,#N/A,Man Industries,Steel - Tubes & Pipes,81.3,0.8,0.99,464,Metals & Mining
LEMONTREE,Lemon Tree Hotels Limited,EQ,9-Apr-18,INE970X01018,,#N/A,Jai Balaji Ind,Steel - Sponge Iron,20.7,0.2,0.98,229,Metals & Mining
LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ,15-Apr-15,INE850E01012,,#N/A,Hi-Tech Pipes,Steel - Tubes & Pipes,196.75,1.9,0.98,215,Metals & Mining
LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ,30-Mar-10,INE337A01034,,#N/A,Jindal Steel,Steel - Sponge Iron,262.85,2.25,0.86,"26,811",Metals & Mining
LGBFORGE,LGB Forge Limited,EQ,1-Aug-08,INE201J01017,,#N/A,Sunflag Iron,Steel - Rolling,59.5,0.45,0.76,"1,072",Metals & Mining
LIBAS,Libas Consumer Products Limited,EQ,23-Jul-19,INE908V01012,,#N/A,Mah Seamless,Steel - Tubes & Pipes,312.55,2.3,0.74,"2,094",Metals & Mining
LIBERTSHOE,Liberty Shoes Limited,EQ,27-Sep-95,INE557B01019,,#N/A,Maan Aluminium,Aluminium,84.1,0.6,0.72,57,Metals & Mining
LICHSGFIN,LIC Housing Finance Limited,EQ,29-Jul-98,INE115A01026,,MOIL Limited,MOIL,Mining & Minerals,142.8,1,0.71,"3,389",Metals & Mining
LIKHITHA,Likhitha Infrastructure Limited,EQ,15-Oct-20,INE060901019,,#N/A,Vardhman Steels,Steel - Medium & Small,119,0.75,0.63,481,Metals & Mining
LINCOLN,Lincoln Pharmaceuticals Limited,EQ,17-Dec-15,INE405C01035,,#N/A,JSW Ispat Speci,Steel - Sponge Iron,27.65,0.15,0.55,"1,298",Metals & Mining
LINCPEN,Linc Pen & Plastics Limited,EQ,9-Mar-15,INE802B01019,,#N/A,Hind Zinc,Metals - Non Ferrous,242.45,1.25,0.52,"102,443",Metals & Mining
LINDEINDIA,Linde India Limited,EQ,16-Jun-99,INE473A01011,,#N/A,Hindalco,Aluminium,244.9,1.25,0.51,"55,019",Metals & Mining
LOKESHMACH,Lokesh Machines Limited,EQ,5-May-06,INE397H01017,,#N/A,Srikalahasthi,Steel - Pig Iron,148.75,0.75,0.51,695,Metals & Mining
LOTUSEYE,Lotus Eye Hospital and Institute Limited,EQ,11-Jul-08,INE947I01017,,#N/A,APL Apollo,Steel - Tubes & Pipes,3692.85,18.55,0.5,"9,213",Metals & Mining
LOVABLE,Lovable Lingerie Limited,EQ,24-Mar-11,INE597L01014,,#N/A,Indian Metals,Mining & Minerals,298.4,1.25,0.42,805,Metals & Mining
LPDC,Landmark Property Development Company Limited,EQ,12-Aug-08,INE197J01017,,#N/A,Orissa Minerals,Mining & Minerals,2524.35,7.6,0.3,"1,515",Metals & Mining
LSIL,Lloyds Steels Industries Limited,EQ,18-Jul-16,INE093R01011,,#N/A,Vedanta,Mining & Minerals,146.75,0.25,0.17,"54,550",Metals & Mining
LT,Larsen & Toubro Limited,EQ,23-Jun-04,INE018A01030,,#N/A,Kalyani Steels,Steel - Rolling,247.95,0.4,0.16,"1,082",Metals & Mining
LTI,Larsen & Toubro Infotech Limited,EQ,21-Jul-16,INE214T01019,,#N/A,JSW Steel,Steel - Large,360,0.35,0.1,"87,020",Metals & Mining
LTTS,L&T Technology Services Limited,EQ,23-Sep-16,INE010V01017,,#N/A,Jindal (Hisar),Steel - Large,133.1,0.1,0.08,"3,140",Metals & Mining
LUMAXIND,Lumax Industries Limited,EQ,6-Sep-95,INE162B01018,,#N/A,Maithan Alloys,Mining & Minerals,561.4,0.2,0.04,"1,634",Metals & Mining
LUMAXTECH,Lumax Auto Technologies Limited,EQ,16-Jan-07,INE872H01027,,#N/A,Gyscoal Alloys,Steel - Sponge Iron,3.1,0,0,49,Metals & Mining
LUPIN,Lupin Limited,EQ,10-Sep-01,INE326A01037,,#N/A,Oil Country,Steel - Tubes & Pipes,5.7,0,0,25,Metals & Mining
LUXIND,Lux Industries Limited,EQ,30-Nov-15,INE150G01020,,#N/A,Pennar Inds,Steel - CR & HR Strips,20.9,0,0,297,Metals & Mining
LYKALABS,Lyka Labs Limited,EQ,8-Feb-95,INE933A01014,,#N/A,Rohit Ferro Tec,Mining & Minerals,0.95,0,0,11,Metals & Mining
LYPSAGEMS,Lypsa Gems & Jewellery Limited,EQ,5-Nov-13,INE142K01011,,#N/A,Satvahana Ispat,Steel - Pig Iron,2.8,0,0,14,Metals & Mining
M&M,Mahindra & Mahindra Limited,EQ,3-Jan-96,INE101A01026,,#N/A,Uttam Galva,Steel - GP & GC Sheets,7.25,0,0,103,Metals & Mining
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,17-Mar-06,INE774D01024,,#N/A,Zenith SP&I,Steel - Tubes & Pipes,0.85,0,0,11,Metals & Mining
MAANALU,Maan Aluminium Limited,EQ,22-Oct-07,INE215I01019,,#N/A,Ratnamani Metal,Steel - Tubes & Pipes,1603,-1.35,-0.08,"7,490",Metals & Mining
MACPOWER,Macpower CNC Machines Limited,EQ,19-Aug-20,INE155Z01011,,#N/A,NALCO,Aluminium,42.6,-0.1,-0.23,"7,948",Metals & Mining
MADHAV,Madhav Marbles and Granites Limited,EQ,20-Dec-07,INE925C01016,,#N/A,Precision Wires,Metals - Non Ferrous,157.2,-0.6,-0.38,364,Metals & Mining
MADHUCON,Madhucon Projects Limited,EQ,5-Oct-06,INE378D01032,,#N/A,Mahamaya Steel,Steel - CR & HR Strips,100,-0.4,-0.4,136,Metals & Mining
MADRASFERT,Madras Fertilizers Limited,EQ,25-Jul-97,INE414A01015,,#N/A,Gandhi Spl Tube,Steel - Tubes & Pipes,237.85,-1,-0.42,307,Metals & Mining
MAGADSUGAR,Magadh Sugar & Energy Limited,EQ,28-Jul-17,INE347W01011,,#N/A,Jai Corp,Steel - GP & GC Sheets,93.55,-0.55,-0.58,"1,669",Metals & Mining
MAGMA,Magma Fincorp Limited,EQ,27-Apr-04,INE511C01022,,#N/A,Jindal Saw,Steel - Tubes & Pipes,76,-0.45,-0.59,"2,430",Metals & Mining
MAGNUM,Magnum Ventures Limited,EQ,20-Sep-07,INE387I01016,,#N/A,Visa Steel,Steel - Large,6.9,-0.05,-0.72,80,Metals & Mining
MAHABANK,Bank of Maharashtra,EQ,12-Apr-04,INE457A01014,,#N/A,Technocraft Ind,Steel - Medium & Small,352.05,-3.3,-0.93,861,Metals & Mining
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,BE,21-Jan-98,INE843B01013,,#N/A,Mukand,Steel - Medium & Small,60,-0.6,-0.99,848,Metals & Mining
MAHASTEEL,Mahamaya Steel Industries Limited,EQ,1-Jul-16,INE451L01014,,#N/A,Gallantt Metal,Steel - Sponge Iron,35.25,-0.4,-1.12,287,Metals & Mining
MAHEPC,Mahindra EPC Irrigation Limited,EQ,14-Feb-20,INE215D01010,,#N/A,Ajmera Realty,Construction & Contracting - Real Estate,137.8,-1.65,-1.18,489,Metals & Mining
MAHESHWARI,Maheshwari Logistics Limited,BE,15-Apr-19,INE263W01010,,#N/A,Sagardeep Alloy,Metals - Non Ferrous,39.5,-0.55,-1.37,67,Metals & Mining
MAHINDCIE,Mahindra CIE Automotive Limited,EQ,30-Aug-07,INE536H01010,,#N/A,Welspun Corp,Steel - Tubes & Pipes,132.05,-2.7,-2,"3,445",Metals & Mining
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,10-May-00,INE813A01018,,#N/A,Kamdhenu,Steel - Medium & Small,103.7,-4.55,-4.2,279,Metals & Mining
MAHLOG,Mahindra Logistics Limited,EQ,10-Nov-17,INE766P01016,,#N/A,Prakash Steelag,Steel - Tubes & Pipes,1.1,-0.05,-4.35,19,Metals & Mining
MAHSCOOTER,Maharashtra Scooters Limited,EQ,8-Feb-95,INE288A01013,,#N/A,ISMT,Steel - Rolling,10.9,-0.5,-4.39,160,Metals & Mining
MAHSEAMLES,Maharashtra Seamless Limited,EQ,25-Aug-04,INE271B01025,,#N/A,National Steel,Steel - GP & GC Sheets,4.05,-0.2,-4.71,18,Metals & Mining
MAITHANALL,Maithan Alloys Limited,EQ,5-Jul-11,INE683C01011,,#N/A,Century Extr,Aluminium,5.95,-0.5,-7.75,48,Metals & Mining
MAJESCO,Majesco Limited,EQ,19-Aug-15,INE898S01029,,#N/A,Adhunik Ind,Steel - Medium & Small,25.75,-2.7,-9.49,120,Metals & Mining
MALUPAPER,Malu Paper Mills Limited,EQ,5-Apr-06,INE383H01017,,#N/A,Splendid Metal,Steel - Rolling,0.2,-0.05,-20,6,Metals & Mining
MANAKALUCO,Manaksia Aluminium Company Limited,EQ,30-Mar-15,INE859Q01017,,#N/A,Karuturi Global,Miscellaneous,0.4,0.05,14.29,60,Miscellaneous
MANAKCOAT,Manaksia Coated Metals & Industries Limited,EQ,30-Mar-15,INE830Q01018,,Waterbase Limited,Waterbase,Aquaculture,140.5,16.4,13.22,582,Miscellaneous
MANAKSIA,Manaksia Limited,EQ,8-Jan-08,INE015D01022,,#N/A,C&KFS,Miscellaneous,0.45,0.05,12.5,3,Miscellaneous
MANAKSTEEL,Manaksia Steels Limited,EQ,30-Mar-15,INE824Q01011,,#N/A,Anik Industries,Edible Oils & Solvent Extraction,20.35,1.85,10,56,Miscellaneous
MANALIPETC,Manali Petrochemicals Limited,EQ,6-Dec-06,INE201A01024,,#N/A,Alchemist,Miscellaneous,10.45,0.95,10,14,Miscellaneous
MANAPPURAM,Manappuram Finance Limited,EQ,1-Dec-14,INE522D01027,,#N/A,North Eastern,Transport & Logistics,11.6,1.05,9.95,58,Miscellaneous
MANGALAM,Mangalam Drugs And Organics Limited,EQ,23-May-05,INE584F01014,,#N/A,Nitin Fire Prot,Miscellaneous,0.65,0.05,8.33,19,Miscellaneous
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,EQ,22-Oct-07,INE558B01017,,#N/A,Banka Bioloo,Miscellaneous,48.1,3.4,7.61,49,Miscellaneous
MANGLMCEM,Mangalam Cement Limited,EQ,3-Jan-96,INE347A01017,,#N/A,Gravita India,Metals - Non Ferrous,57.8,3.85,7.14,399,Miscellaneous
MANGTIMBER,Mangalam Timber Products Limited,EQ,27-Jul-95,INE805B01012,,#N/A,Bhagyanagar Pro,Miscellaneous,24.2,1.55,6.84,77,Miscellaneous
MANINDS,Man Industries (India) Limited,EQ,24-Jun-05,INE993A01026,,#N/A,DNL,Miscellaneous,41.2,2.6,6.74,77,Miscellaneous
MANINFRA,Man Infraconstruction Limited,EQ,11-Mar-10,INE949H01023,,#N/A,Archidply Ind,Miscellaneous,31.55,1.85,6.23,70,Miscellaneous
MANUGRAPH,Manugraph India Limited,EQ,14-Sep-06,INE867A01022,,#N/A,Vimta Labs,Miscellaneous,179.95,10.5,6.2,398,Miscellaneous
MARALOVER,Maral Overseas Limited,EQ,8-Feb-95,INE882A01013,,#N/A,Bil Energy,Power - Generation & Distribution,0.9,0.05,5.88,19,Miscellaneous
MARATHON,Marathon Nextgen Realty Limited,EQ,29-Sep-16,INE182D01020,,#N/A,Repro India,Printing & Stationery,406.7,22.45,5.84,492,Miscellaneous
MARICO,Marico Limited,EQ,1-May-96,INE196A01026,,#N/A,MMP Industries,Miscellaneous,87.95,4.85,5.84,223,Miscellaneous
MARINE,Marine Electricals (India) Limited,EQ,2-Dec-20,INE01JE01010,,#N/A,Lexus Granito,Miscellaneous,18.9,0.9,5,36,Miscellaneous
MARKSANS,Marksans Pharma Limited,EQ,21-Jan-02,INE750C01026,,#N/A,Prolife Industr,Miscellaneous,55.8,2.65,4.99,23,Miscellaneous
MARUTI,Maruti Suzuki India Limited,EQ,9-Jul-03,INE585B01010,,#N/A,ABM Inter,Miscellaneous,25.9,1.2,4.86,30,Miscellaneous
MASFIN,MAS Financial Services Limited,EQ,18-Oct-17,INE348L01012,,#N/A,Bartronics,Miscellaneous,2.2,0.1,4.76,7,Miscellaneous
MASKINVEST,Mask Investments Limited,BE,14-Oct-16,INE885F01015,,#N/A,Kridhan Infra,Miscellaneous,4.4,0.2,4.76,42,Miscellaneous
MASTEK,Mastek Limited,EQ,10-May-95,INE759A01021,,#N/A,Vikas Multi,Miscellaneous,7.75,0.35,4.73,514,Miscellaneous
MATRIMONY,Matrimony.Com Limited,EQ,21-Sep-17,INE866R01028,,#N/A,Shyam Century,Mining & Minerals,6.75,0.3,4.65,150,Miscellaneous
MAWANASUG,Mawana Sugars Limited,EQ,20-Mar-09,INE636A01039,,#N/A,Imagicaaworld,Miscellaneous,7.05,0.3,4.44,62,Miscellaneous
MAXHEALTH,Max Healthcare Institute Limited,EQ,21-Aug-20,INE027H01010,,#N/A,Innovative Tyre,Miscellaneous,8.3,0.35,4.4,15,Miscellaneous
MAXIND,Max India Limited,EQ,28-Aug-20,INE0CG601016,,#N/A,Bohra Industrie,Miscellaneous,1.2,0.05,4.35,2,Miscellaneous
MAXVIL,Max Ventures and Industries Limited,EQ,22-Jun-16,INE154U01015,,#N/A,Uniply Ind,Miscellaneous,3.7,0.15,4.23,62,Miscellaneous
MAYURUNIQ,Mayur Uniquoters Ltd,EQ,25-Sep-12,INE040D01038,,#N/A,Rushil Decor,Miscellaneous,146.1,4.95,3.51,291,Miscellaneous
MAZDA,Mazda Limited,EQ,1-Nov-16,INE885E01034,,#N/A,Indosolar,Miscellaneous,1.55,0.05,3.33,58,Miscellaneous
MAZDOCK,Mazagon Dock Shipbuilders Limited,EQ,12-Oct-20,INE249Z01012,,#N/A,Cox & Kings,Miscellaneous,1.65,0.05,3.12,29,Miscellaneous
MBAPL,Madhya Bharat Agro Products Limited,BE,22-Aug-19,INE900L01010,,#N/A,Moksh Ornaments,Miscellaneous,27,0.75,2.86,29,Miscellaneous
MBECL,Mcnally Bharat Engineering Company Limited,BE,6-Oct-06,INE748A01016,,#N/A,Ruchi Soya,Edible Oils & Solvent Extraction,685.9,19,2.85,"20,292",Miscellaneous
MBLINFRA,MBL Infrastructures Limited,EQ,11-Jan-10,INE912H01013,,#N/A,Gateway Distri,Miscellaneous,118.1,3.05,2.65,"1,474",Miscellaneous
MCDHOLDING,McDowell Holdings Limited,EQ,30-May-07,INE836H01014,,#N/A,Guj Amb Exports,Edible Oils & Solvent Extraction,124.05,3,2.48,"2,845",Miscellaneous
MCDOWELL-N,United Spirits Limited,EQ,27-Sep-01,INE854D01024,,#N/A,Creative Periph,Miscellaneous,118.6,2.85,2.46,138,Miscellaneous
MCL,Madhav Copper Limited,EQ,19-Aug-20,INE813V01022,,Security and Intelligence Services (India) Limited,SIS,Miscellaneous,449.4,9.9,2.25,"6,623",Miscellaneous
MCLEODRUSS,Mcleod Russel India Limited,EQ,29-Jul-05,INE942G01012,,#N/A,Syngene Intl,Miscellaneous,613,13.05,2.18,"24,520",Miscellaneous
MCX,Multi Commodity Exchange of India Limited,EQ,9-Mar-12,INE745G01035,,#N/A,FEL,Miscellaneous,15.1,0.3,2.03,686,Miscellaneous
MEGASOFT,Megasoft Limited,EQ,19-Jul-07,INE933B01012,,#N/A,KPIT Tech,,110.45,2.15,1.99,"3,028",Miscellaneous
MEGH,Meghmani Organics Limited,EQ,28-Jun-07,INE974H01013,,#N/A,Panache Digilif,Miscellaneous,41.7,0.75,1.83,50,Miscellaneous
MELSTAR,Melstar Information Technologies Limited,BZ,7-Mar-00,INE817A01019,,#N/A,Info Edge,Miscellaneous,4593.65,72.3,1.6,"59,067",Miscellaneous
MENONBE,Menon Bearings Limited,BE,9-Mar-15,INE071D01033,,#N/A,GeeCee Ventures,,82.2,1.25,1.54,172,Miscellaneous
MEP,MEP Infrastructure Developers Limited,EQ,6-May-15,INE776I01010,,#N/A,Bombay Super,Miscellaneous,92.95,1.4,1.53,98,Miscellaneous
MERCATOR,Mercator Limited,EQ,20-Jun-05,INE934B01028,,#N/A,Avanti Feeds,Aquaculture,552.3,7.8,1.43,"7,525",Miscellaneous
METALFORGE,Metalyst Forgings Limited,EQ,23-Aug-95,INE425A01011,,#N/A,Venkys,Miscellaneous,1715.95,23.75,1.4,"2,417",Miscellaneous
METKORE,Metkore Alloys & Industries Limited,BZ,30-Jun-08,INE592I01029,,#N/A,Atlas Cycles,Miscellaneous,40.35,0.55,1.38,26,Miscellaneous
METROPOLIS,Metropolis Healthcare Limited,EQ,15-Apr-19,INE112L01020,,#N/A,S Chand and Co,Printing & Stationery,71,0.95,1.36,248,Miscellaneous
MFSL,Max Financial Services Limited,EQ,17-May-00,INE180A01020,,#N/A,BSE Limited,Miscellaneous,616.95,8,1.31,"2,778",Miscellaneous
MGL,Mahanagar Gas Limited,EQ,1-Jul-16,INE002S01010,,#N/A,V-Guard Ind,Electric Equipment,189.3,2.45,1.31,"8,119",Miscellaneous
MHRIL,Mahindra Holidays & Resorts India Limited,EQ,16-Jul-09,INE998I01010,,#N/A,Bharat 22 ETF,Miscellaneous,31.96,0.4,1.27,"12,883",Miscellaneous
MIC,MIC Electronics Limited,BE,30-May-07,INE287C01029,,#N/A,Kapston Facilit,Miscellaneous,98,1.2,1.24,99,Miscellaneous
MIDHANI,Mishra Dhatu Nigam Limited,EQ,4-Apr-18,INE099Z01011,,#N/A,Dalmia Bharat,Cement - Major,1069.15,13.05,1.24,"19,971",Miscellaneous
MINDACORP,Minda Corporation Limited,EQ,16-Oct-14,INE842C01021,,#N/A,Godrej Agrovet,Miscellaneous,530.9,6.4,1.22,"10,197",Miscellaneous
MINDAIND,Minda Industries Limited,EQ,2-Feb-07,INE405E01023,,#N/A,BLS Internation,Miscellaneous,91.6,1.1,1.22,938,Miscellaneous
MINDTECK,Mindteck (India) Limited,EQ,2-Aug-16,INE110B01017,,#N/A,Aries Agro,Fertilisers,107,1.25,1.18,139,Miscellaneous
MINDTREE,MindTree Limited,EQ,7-Mar-07,INE018I01017,,#N/A,Maheshwari Logi,Miscellaneous,96.35,1.1,1.15,285,Miscellaneous
MIRCELECTR,MIRC Electronics Limited,EQ,24-May-04,INE831A01028,,#N/A,Beardsell,Miscellaneous,9.85,0.1,1.03,28,Miscellaneous
MIRZAINT,Mirza International Limited,EQ,28-Apr-99,INE771A01026,,#N/A,TML-D,Miscellaneous,75.45,0.75,1,"21,785",Miscellaneous
MITTAL,Mittal Life Style Limited,EQ,29-Apr-20,INE997Y01019,,#N/A,Lasa Supergener,Miscellaneous,81.7,0.8,0.99,332,Miscellaneous
MMFL,MM Forgings Limited,EQ,20-Dec-06,INE227C01017,,#N/A,Balaxi Pharma,Trading,649.95,6.35,0.99,650,Miscellaneous
MMP,MMP Industries Limited,EQ,9-Jan-20,INE511Y01018,,Shrenik Limited,Shrenik,Miscellaneous,5.15,0.05,0.98,315,Miscellaneous
MMTC,MMTC Limited,EQ,9-Apr-12,INE123F01029,,#N/A,IWML,Miscellaneous,1056.05,9.9,0.95,"9,251",Miscellaneous
MODIRUBBER,Modi Rubber Limited,BE,7-Feb-96,INE832A01018,,#N/A,MCX India,Miscellaneous,1683.7,15.7,0.94,"8,587",Miscellaneous
MOHITIND,Mohit Industries Limited,BE,14-Mar-13,INE954E01012,,#N/A,Kaveri Seed,Miscellaneous,532.05,4.7,0.89,"3,210",Miscellaneous
MOHOTAIND,Mohota Industries Limited,EQ,10-Apr-96,INE313D01013,,#N/A,Cholamandalam,Miscellaneous,528,4.05,0.77,"9,912",Miscellaneous
MOIL,MOIL Limited,EQ,15-Dec-10,INE490G01020,,#N/A,New India Assur,Miscellaneous,132.9,0.95,0.72,"21,902",Miscellaneous
MOLDTECH,Mold-Tek Technologies Limited,BE,7-Jul-16,INE835B01035,,#N/A,Just Dial,Miscellaneous,612.2,3.95,0.65,"3,781",Miscellaneous
MOLDTKPAC,Mold-Tek Packaging Limited,EQ,23-Feb-15,INE893J01029,,#N/A,DIC India,Printing & Stationery,394.5,2.4,0.61,362,Miscellaneous
MONTECARLO,Monte Carlo Fashions Limited,EQ,19-Dec-14,INE950M01013,,#N/A,Titan Company,Miscellaneous,1451.1,8.7,0.6,"128,827",Miscellaneous
MORARJEE,Morarjee Textiles Limited,EQ,14-Sep-12,INE161G01027,,#N/A,MSTC,Miscellaneous,158.3,0.8,0.51,"1,114",Miscellaneous
MOREPENLAB,Morepen Laboratories Limited,EQ,24-Nov-99,INE083A01026,,#N/A,The Western Ind,Miscellaneous,50,0.25,0.5,42,Miscellaneous
MOTHERSUMI,Motherson Sumi Systems Limited,EQ,14-Aug-96,INE775A01035,,#N/A,Cupid,Miscellaneous,253,1.15,0.46,337,Miscellaneous
MOTILALOFS,Motilal Oswal Financial Services Limited,EQ,11-Sep-07,INE338I01027,,#N/A,Libas Consumer,Miscellaneous,33.1,0.15,0.46,41,Miscellaneous
MOTOGENFIN,The Motor & General Finance Limited,BE,8-Feb-95,INE861B01023,,#N/A,TCPL Packaging,Printing & Stationery,410.85,1.75,0.43,374,Miscellaneous
MPHASIS,MphasiS Limited,EQ,4-Jun-04,INE356A01018,,#N/A,Apar Ind,Electric Equipment,391.1,1.4,0.36,"1,497",Miscellaneous
MPSLTD,MPS Limited,EQ,21-Jan-02,INE943D01017,,#N/A,Fine Organics,Miscellaneous,2498.85,8.75,0.35,"7,661",Miscellaneous
MRF,MRF Limited,EQ,18-Sep-96,INE883A01011,,#N/A,Archies,Printing & Stationery,14.35,0.05,0.35,48,Miscellaneous
MRO-TEK,MRO-TEK Realty Limited,EQ,1-Nov-00,INE398B01018,,#N/A,ConfidencePetro,Miscellaneous,30.4,0.1,0.33,832,Miscellaneous
MRPL,Mangalore Refinery and Petrochemicals Limited,EQ,7-Jan-05,INE103A01014,,#N/A,Gokul Refoils,Edible Oils & Solvent Extraction,15.9,0.05,0.32,157,Miscellaneous
MSPL,MSP Steel & Power Limited,EQ,18-Jul-05,INE752G01015,,#N/A,Aspinwall,Miscellaneous,136.15,0.4,0.29,106,Miscellaneous
MSTCLTD,Mstc Limited,EQ,29-Mar-19,INE255X01014,,#N/A,Amber Enterpris,Miscellaneous,2314,5.2,0.23,"7,797",Miscellaneous
MTEDUCARE,MT Educare Limited,EQ,12-Apr-12,INE472M01018,,#N/A,Indiamart Inter,Miscellaneous,5369.75,11.8,0.22,"15,638",Miscellaneous
MTNL,Mahanagar Telephone Nigam Limited,EQ,17-Feb-99,INE153A01019,,#N/A,DFM Foods,Food Processing,396,0.7,0.18,"1,991",Miscellaneous
MUKANDENGG,Mukand Engineers Limited,EQ,28-Jun-00,INE022B01014,,The Sandesh Limited,Sandesh,Printing & Stationery,580,0.95,0.16,439,Miscellaneous
MUKANDLTD,Mukand Limited,EQ,23-Feb-04,INE304A01026,,#N/A,Agro Tech Foods,Edible Oils & Solvent Extraction,787,1.15,0.15,"1,918",Miscellaneous
MUKTAARTS,Mukta Arts Limited,EQ,12-Sep-00,INE374B01019,,#N/A,ICICI Securitie,Miscellaneous,468.7,0.4,0.09,"15,102",Miscellaneous
MUNJALAU,Munjal Auto Industries Limited,EQ,19-Jul-06,INE672B01032,,#N/A,SBI-ETF Nifty,Miscellaneous,139.89,0.1,0.07,18,Miscellaneous
MUNJALSHOW,Munjal Showa Limited,EQ,12-May-03,INE577A01027,,#N/A,Greenlam Ind,Miscellaneous,819.9,0.55,0.07,"1,979",Miscellaneous
MURUDCERA,Murudeshwar Ceramics Limited,EQ,28-May-04,INE692B01014,,Wonderla Holidays Limited,Wonderla,Miscellaneous,213.1,0.1,0.05,"1,205",Miscellaneous
MUTHOOTCAP,Muthoot Capital Services Limited,EQ,24-Aug-15,INE296G01013,,#N/A,CMM Infraprojec,Miscellaneous,2.9,0,0,5,Miscellaneous
MUTHOOTFIN,Muthoot Finance Limited,EQ,6-May-11,INE414G01012,,#N/A,Focus Lighting,Miscellaneous,20.8,0,0,21,Miscellaneous
NACLIND,NACL Industries Limited,EQ,7-Apr-17,INE295D01020,,#N/A,NSL,Miscellaneous,1.7,0,0,67,Miscellaneous
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,BE,15-Jun-16,INE454M01024,,#N/A,NK Industries,Edible Oils & Solvent Extraction,18.1,0,0,11,Miscellaneous
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,EQ,18-Sep-07,INE245I01016,,#N/A,One Point One S,Miscellaneous,15.05,0,0,38,Miscellaneous
NAGREEKEXP,Nagreeka Exports Limited,EQ,18-Jun-07,INE123B01028,,Skipper Limited,Skipper,Engineering,59.8,0,0,614,Miscellaneous
NAHARCAP,Nahar Capital and Financial Services Limited,EQ,11-Mar-08,INE049I01012,,#N/A,SEL,Miscellaneous,5.8,0,0,124,Miscellaneous
NAHARINDUS,Nahar Industrial Enterprises Limited,EQ,15-Dec-05,INE289A01011,,#N/A,Sundaram Multi,Printing & Stationery,1.55,0,0,73,Miscellaneous
NAHARPOLY,Nahar Poly Films Limited,EQ,23-Mar-07,INE308A01027,,#N/A,Orient Press,Printing & Stationery,84.4,-0.1,-0.12,84,Miscellaneous
NAHARSPING,Nahar Spinning Mills Limited,EQ,23-Mar-07,INE290A01027,,#N/A,AGL,,358.25,-0.45,-0.13,"39,401",Miscellaneous
